node1,node2,flow,betweenness,degree,class
111,2791,0.0588235294117647,4.886887468552998e-05,238,0
111,2887,0.0196078431372549,3.182651833368561e-05,254,0
111,2898,0.0196078431372549,2.9015913707321253e-05,274,0
111,3344,0.0549019607843137,4.1269798491561954e-05,261,0
111,3375,0.0235294117647058,2.9207883157130448e-05,235,0
111,3634,0.0039215686274509,1.9664864535140075e-05,231,0
111,3642,0.0078431372549019,2.7217172176848676e-05,269,0
111,3646,0.0549019607843137,2.3580948739759356e-05,275,0
111,4031,0.0078431372549019,6.61702273369141e-05,262,0
111,4772,0.0156862745098039,2.0205122904100543e-05,253,0
111,4773,0.0235294117647058,2.358088583560793e-05,261,0
111,4775,0.0039215686274509,7.710598792139897e-05,265,0
111,4777,0.0117647058823529,4.486462697139995e-05,286,0
111,4780,0.0078431372549019,8.223824778188981e-05,253,0
111,4790,0.0392156862745098,3.2653620097867674e-05,258,0
111,4836,0.0156862745098039,5.280239810647401e-05,252,0
111,5839,0.0039215686274509,0.00011686797268824336,274,0
111,5870,0.0039215686274509,5.1449542593629506e-05,246,0
111,5873,0.0078431372549019,7.150981162545673e-05,272,0
111,5875,0.0470588235294117,2.969829163897951e-05,272,0
111,6464,0.0078431372549019,6.199127803550847e-05,241,0
111,6465,0.0274509803921568,4.4331809583905516e-05,229,0
111,6594,0.0078431372549019,3.244042960182521e-05,223,0
111,6595,0.0039215686274509,2.1457807210464152e-05,289,0
112,1037,-0.0075989929045548,9.83804590258598e-07,80,1
112,3653,0.0118566176470588,4.357296464359083e-07,88,1
113,3672,0.0039525691699604,1.1468411781091426e-06,86,1
113,5281,0.0158102766798418,1.199970856095293e-06,92,1
115,703,0.0235294117647058,6.156241774503885e-07,47,1
115,2794,0.0274509803921568,8.683016860861216e-07,45,1
115,2826,0.0274509803921568,3.573739634404574e-07,47,1
115,4649,0.0549019607843137,6.283072558390492e-07,53,1
117,569,0.0112359550561797,0.00011987031836618306,230,0
117,1824,0.2078651685393258,6.217153784594874e-05,220,0
117,2285,0.0449438202247191,2.3348745365425326e-05,231,0
117,2286,0.0168539325842696,2.576703182049646e-05,264,0
117,2458,0.0224719101123595,1.990544154958696e-05,225,0
117,2569,0.0168539325842696,6.175519687026649e-05,266,0
117,2572,0.0280898876404494,3.1977866740648284e-05,237,0
117,3131,0.0224719101123595,5.408342916794457e-05,217,0
117,3722,0.0168539325842696,8.362831241488557e-05,284,0
117,5199,0.0337078651685393,0.00010765040299372097,291,0
117,5435,0.0056179775280898,6.6921979363881e-05,220,0
117,5436,0.0056179775280898,3.9091602772034186e-05,215,0
117,5689,0.0056179775280898,8.556878897021387e-05,233,0
117,5697,0.0112359550561797,5.1916264064338384e-05,232,0
118,2050,0.3063765736179529,2.7918079203518416e-07,46,1
118,3742,0.0227180527383367,7.052016481547165e-07,53,1
121,2617,0.0071942446043165,4.704739599524911e-07,82,1
121,3786,0.079136690647482,5.902650449895668e-07,74,1
121,3828,0.0071942446043165,3.507261724887541e-07,91,1
121,3830,0.014388489208633,2.6809461165983127e-07,88,1
122,1371,0.0038910505836575,1.8398069649675834e-05,241,0
123,1371,0.0778210116731517,0.00013994173229230878,305,0
123,4006,0.0038910505836575,3.40347126878929e-05,232,0
