node1,node2,flow,degree,class
12213,16444,1.0,3,1
5878,17469,1.0,2,1
12201,24605,1.0,2,1
12190,24598,1.0,4,1
12191,24599,1.0,2,1
5866,10334,1.0,4,1
9884,12633,1.0,3,1
9881,21804,1.0,3,1
5871,17460,1.0,2,1
12194,24601,1.0,2,1
9879,21801,1.0,3,1
9878,13817,1.0,4,1
9877,11434,1.0,3,1
5873,8104,1.0,5,1
2911,12593,1.0,4,1
5876,17465,1.0,4,1
9279,9874,-1.0,3,1
12198,24603,1.0,3,1
12200,24604,1.0,2,1
5717,9872,-1.0,4,1
9858,21781,1.0,2,1
9856,21778,1.0,2,1
5891,17484,1.0,2,1
9848,21758,1.0,2,1
12234,24638,1.0,3,1
2855,15088,1.0,3,1
12236,24639,1.0,2,1
8815,9846,-1.0,5,1
8814,9845,-1.0,4,1
9844,9845,1.0,4,1
9843,21745,1.0,2,1
5918,12650,1.0,3,1
2843,15083,1.0,3,1
9840,21741,1.0,2,1
9838,21740,1.0,2,1
9836,21738,1.0,2,1
5920,11459,1.0,3,1
12241,13737,1.0,5,1
9835,21737,1.0,3,1
12242,24648,1.0,2,1
9834,14093,1.0,3,1
12243,24650,1.0,2,1
2858,15092,1.0,2,1
12232,24637,1.0,2,1
12224,24634,1.0,3,1
12215,24622,1.0,3,1
12216,24626,1.0,3,1
1960,5893,-1.0,3,1
9855,21777,1.0,3,1
10676,12217,-1.0,3,1
5894,17488,1.0,2,1
12221,24633,1.0,2,1
5899,17490,1.0,2,1
9853,21776,1.0,2,1
9851,15878,1.0,4,1
2868,15098,1.0,3,1
12226,17011,1.0,4,1
9850,10452,1.0,4,1
5908,17498,1.0,2,1
2861,15094,1.0,2,1
5910,10125,1.0,4,1
12569,25046,1.0,2,1
6306,7531,1.0,5,1
9248,17240,1.0,5,1
12892,25459,1.0,2,1
12893,25181,1.0,3,1
12895,25461,1.0,2,1
12896,25463,1.0,2,1
9240,15008,1.0,3,1
9239,16004,1.0,3,1
6610,6716,-1.0,4,1
6717,6940,1.0,4,1
6718,18244,1.0,3,1
6720,18245,1.0,3,1
12902,25469,1.0,2,1
9237,20993,1.0,2,1
9235,20992,1.0,2,1
12903,24775,1.0,3,1
12904,25014,1.0,3,1
12905,19765,1.0,4,1
12906,25472,1.0,2,1
12907,16252,1.0,3,1
12908,25475,1.0,2,1
9230,19097,1.0,4,1
9139,9229,-1.0,3,1
6710,18229,1.0,3,1
9250,21005,1.0,2,1
12909,25477,1.0,2,1
9251,16848,1.0,3,1
6699,18223,1.0,2,1
12875,24478,1.0,3,1
3687,12876,-1.0,4,1
10156,12877,-1.0,5,1
12879,25442,1.0,3,1
9258,21008,1.0,3,1
3772,12881,-1.0,4,1
9255,21006,1.0,3,1
12883,25455,1.0,3,1
6705,13191,1.0,3,1
5962,12884,-1.0,3,1
1960,14594,1.0,3,1
6570,12886,-1.0,4,1
12887,14535,1.0,5,1
12888,24329,1.0,3,1
12889,25458,1.0,2,1
6709,18227,1.0,2,1
9228,20989,1.0,2,1
6728,18257,1.0,2,1
12939,25520,1.0,2,1
9204,20961,1.0,5,1
12924,25500,1.0,2,1
6749,18286,1.0,4,1
9200,20950,1.0,2,1
12925,25503,1.0,2,1
12926,25504,1.0,5,1
12928,25505,1.0,4,1
9922,12929,-1.0,4,1
12931,25507,1.0,2,1
4209,12932,-1.0,4,1
12933,25509,1.0,2,1
12934,25513,1.0,3,1
9192,10337,1.0,5,1
12936,25516,1.0,2,1
1884,14567,1.0,2,1
9190,20945,1.0,2,1
9189,20944,1.0,2,1
6758,18295,1.0,2,1
9201,11704,1.0,5,1
12923,25499,1.0,3,1
12911,25480,1.0,2,1
6742,18278,1.0,2,1
9227,20988,1.0,2,1
1722,1923,-1.0,5,1
12912,25482,1.0,4,1
12914,25485,1.0,2,1
1917,14577,1.0,2,1
6732,18265,1.0,2,1
6733,13457,1.0,5,1
12916,25486,1.0,2,1
12917,19259,1.0,3,1
12918,25489,1.0,2,1
9215,20975,1.0,3,1
9212,16012,1.0,5,1
12920,25496,1.0,3,1
9210,20970,1.0,2,1
9209,20969,1.0,2,1
12922,25498,1.0,2,1
9208,20967,1.0,2,1
9207,20963,1.0,2,1
6741,18277,1.0,2,1
9261,21011,1.0,2,1
12873,20575,1.0,5,1
6643,18175,1.0,2,1
9309,21064,1.0,3,1
11211,12828,-1.0,5,1
9308,21063,1.0,3,1
9307,21062,1.0,2,1
6649,18182,1.0,4,1
6650,18183,1.0,3,1
9305,12488,1.0,5,1
9304,11654,1.0,5,1
12832,25392,1.0,3,1
2032,14622,1.0,3,1
6651,18187,1.0,2,1
9052,9302,-1.0,5,1
2030,14621,1.0,2,1
12834,16117,1.0,4,1
6653,16005,1.0,4,1
12836,25394,1.0,2,1
12837,18702,1.0,4,1
6655,18188,1.0,2,1
9299,21052,1.0,4,1
12838,25395,1.0,3,1
6639,18173,1.0,2,1
12872,25440,1.0,3,1
12824,25378,1.0,2,1
9323,11558,1.0,3,1
12810,25357,1.0,2,1
12811,23159,1.0,5,1
9320,21080,1.0,2,1
12813,25358,1.0,5,1
12814,25362,1.0,3,1
9319,21079,1.0,2,1
12815,19559,1.0,4,1
9318,21078,1.0,3,1
9317,21075,1.0,3,1
8173,12816,-1.0,4,1
9315,15495,1.0,4,1
6632,18165,1.0,2,1
12818,25370,1.0,2,1
12819,25371,1.0,4,1
12820,14575,1.0,4,1
12821,25377,1.0,2,1
6634,18166,1.0,3,1
3056,12839,-1.0,5,1
9298,11393,1.0,3,1
8175,12840,-1.0,5,1
