node1,node2,flow,degree,class
458,108961,0.2031341996529858,67,0
130,1216,-0.294452347083926,65,0
35,25728,0.0124163992442191,318,0
21,17084,0.0445750013474909,97,0
459,490,-0.1007931665649786,76,0
460,3326,0.4283737024221453,14,0
461,1459,0.380242709970316,56,0
325,462,0.0021547122941607,231,0
239,463,-0.0224974922285473,123,0
464,543,-0.2263436843829314,37,0
465,26916,-0.6182228915662651,12,0
466,91300,-0.7383093525179856,24,0
57,101,-0.095857053458142,166,0
28,325,-0.0367971210076473,418,0
119,25633,0.0634316770186335,145,0
413,48475,-0.0136088221819284,70,0
467,1177,0.168212739641311,76,0
75,110,-0.0812182741116751,72,0
7,11901,-0.0023744917920471,32,0
126,468,-0.0777331417528711,45,0
137,469,-0.1154665530464422,60,0
470,19769,-0.0625118986922112,74,0
471,11529,-0.1813168716534765,30,0
